UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],delta_temp,power_proxy,Machine failure,TWF,HDF,PWF,OSF,RNF,risk_score,risk_level
1,M14860,M,298.1,308.6,1551,42.8,0,10.5,66382.79999999999,0,0,0,0,0,0,0.3387970249168987,Low
2,L47181,L,298.2,308.7,1408,46.3,3,10.5,65190.399999999994,0,0,0,0,0,0,0.360091735986675,Low
3,L47182,L,298.1,308.5,1498,49.4,5,10.399999999999977,74001.2,0,0,0,0,0,0,0.4000832838303693,Low
4,L47183,L,298.2,308.6,1433,39.5,7,10.400000000000034,56603.5,0,0,0,0,0,0,0.30975975301513636,Low
5,L47184,L,298.2,308.7,1408,40.0,9,10.5,56320.0,0,0,0,0,0,0,0.3150320797831428,Low
6,M14865,M,298.1,308.6,1425,41.9,11,10.5,59707.5,0,0,0,0,0,0,0.33624489204999425,Low
7,L47186,L,298.1,308.6,1558,42.4,14,10.5,66059.2,0,0,0,0,0,0,0.35800653016398454,Low
8,L47187,L,298.1,308.6,1527,40.2,16,10.5,61385.4,0,0,0,0,0,0,0.33857935675930473,Low
9,M14868,M,298.3,308.7,1667,28.6,18,10.399999999999977,47676.200000000004,0,0,0,0,0,0,0.24720266424422238,Low
10,M14869,M,298.5,309.0,1741,28.0,21,10.5,48748.0,0,0,0,0,0,0,0.25105721528708774,Low
11,H29424,H,298.4,308.9,1782,23.9,24,10.5,42589.799999999996,0,0,0,0,0,0,0.21943628842545315,Low
12,H29425,H,298.6,309.1,1423,44.3,29,10.5,63038.899999999994,0,0,0,0,0,0,0.38537535159740616,Low
13,M14872,M,298.6,309.1,1339,51.1,34,10.5,68422.90000000001,0,0,0,0,0,0,0.44274015516986315,Medium
14,M14873,M,298.6,309.2,1742,30.0,37,10.599999999999966,52260.0,0,0,0,0,0,0,0.2952335979904215,Low
15,L47194,L,298.6,309.2,2035,19.6,40,10.599999999999966,39886.0,0,0,0,0,0,0,0.21503133074933928,Low
16,L47195,L,298.6,309.2,1542,48.4,42,10.599999999999966,74632.8,0,0,0,0,0,0,0.45450591104136573,Medium
17,M14876,M,298.6,309.2,1311,46.6,44,10.599999999999966,61092.6,0,0,0,0,0,0,0.41735508962912615,Low
18,M14877,M,298.7,309.2,1410,45.6,47,10.5,64296.0,0,0,0,0,0,0,0.423801218973349,Medium
19,H29432,H,298.8,309.2,1306,54.5,50,10.399999999999977,71177.0,0,0,0,0,0,0,0.4929059597143537,Medium
20,M14879,M,298.9,309.3,1632,32.5,55,10.400000000000034,53040.0,0,0,0,0,0,0,0.33918090093511843,Low
21,H29434,H,298.9,309.3,1375,42.7,58,10.400000000000034,58712.50000000001,0,0,0,0,0,0,0.412713183406504,Low
22,L47201,L,298.8,309.3,1450,44.8,63,10.5,64959.99999999999,0,0,0,0,0,0,0.44619396412017454,Medium
23,M14882,M,298.9,309.3,1581,30.7,65,10.400000000000034,48536.7,0,0,0,0,0,0,0.3349828386003122,Low
24,L47203,L,299.0,309.4,1758,25.7,68,10.399999999999977,45180.6,0,0,0,0,0,0,0.3047127486573379,Low
25,M14884,M,299.0,309.4,1561,37.3,70,10.399999999999977,58225.299999999996,0,0,0,0,0,0,0.40092052156583774,Low
26,L47205,L,299.0,309.5,1861,23.3,73,10.5,43361.3,0,0,0,0,0,0,0.29534338383947495,Low
27,L47206,L,299.1,309.5,1512,39.0,75,10.399999999999977,58968.0,0,0,0,0,0,0,0.4198350530129436,Medium
28,H29441,H,299.1,309.4,1811,24.6,77,10.299999999999955,44550.600000000006,0,0,0,0,0,0,0.311482527591429,Low
29,L47208,L,299.1,309.4,1439,44.2,82,10.299999999999955,63603.8,0,0,0,0,0,0,0.46988961170143456,Medium
30,L47209,L,299.0,309.4,1693,30.1,84,10.399999999999977,50959.3,0,0,0,0,0,0,0.3671688741672284,Low
31,M14890,M,299.1,309.5,1339,48.2,86,10.399999999999977,64539.8,0,0,0,0,0,0,0.5002947937730546,Medium
32,L47211,L,299.0,309.4,1798,25.5,89,10.399999999999977,45849.0,0,0,0,0,0,0,0.3383172215705476,Low
33,L47212,L,299.0,309.4,1419,48.3,91,10.399999999999977,68537.7,0,0,0,0,0,0,0.5177320549731742,Medium
34,L47213,L,298.9,309.3,1665,32.5,93,10.400000000000034,54112.5,0,0,0,0,0,0,0.4016696964475047,Low
35,M14894,M,298.8,309.1,1559,34.7,95,10.300000000000011,54097.3,0,0,0,0,0,0,0.41688551178676,Low
36,M14895,M,298.8,309.2,1452,48.6,98,10.399999999999977,70567.2,0,0,0,0,0,0,0.5350075776491906,Medium
